city,scenario,severity,run,avg_ratio,median_ratio,pct_disconnected,n_removed_edges,n_pairs
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.7,2,2.417989303118332,1.3355898823421444,30.0,319,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.7,3,3.421458767378098,5.0,60.0,319,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.7,4,2.754025537878245,1.4379353504610959,40.0,319,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.3,0,1.0169798950182807,1.0,0.0,15,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.3,1,1.0363594085375747,1.0,0.0,15,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.3,2,1.0108463067345668,1.0,0.0,15,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.3,3,1.0072241643481301,1.0,0.0,15,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.3,4,1.0123316405264642,1.0,0.0,15,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.5,0,1.02096967883037,1.0,0.0,26,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.5,1,1.0393741129791207,1.0,0.0,26,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.5,2,1.0133310361170316,1.0,0.0,26,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.5,3,1.0109088001444966,1.0,0.0,26,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.5,4,1.0123316405264642,1.0,0.0,26,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.7,0,1.0446435086502788,1.0,0.0,37,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.7,1,1.0398679114685525,1.0,0.0,37,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.7,2,1.0207233814414527,1.0,0.0,37,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.7,3,1.055498833165309,1.0,0.0,37,30
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.7,4,1.0155236723795442,1.0,0.0,37,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.3,0,1.6927655585466435,1.1937793293877408,13.333333333333334,611,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.3,1,1.615436932577403,1.1604740796497621,10.0,611,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.3,2,1.8477974388117964,1.1966093434631389,16.666666666666668,611,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.3,3,1.8240927918508247,1.318079746749266,13.333333333333334,611,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.3,4,1.9104838586401791,1.3004623736143044,16.666666666666668,611,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.5,0,2.123910961003941,1.3836738586084816,20.0,1018,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.5,1,1.912146542194605,1.2814168615388422,16.666666666666668,1018,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.5,2,1.900324165337455,1.2229413732701127,16.666666666666668,1018,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.5,3,1.9494587669628716,1.5083699227426686,13.333333333333334,1018,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.5,4,2.087117486523414,1.3866032029588047,20.0,1018,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.7,0,2.349171232459971,1.545379895929948,23.333333333333332,1425,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.7,1,2.075889525776089,1.2959026019897637,20.0,1425,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.7,2,2.0046760742501366,1.3319419373737014,16.666666666666668,1425,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.7,3,2.1569573399032307,1.5298224514699965,20.0,1425,30
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.7,4,2.2835540618050385,1.5220267710874675,23.333333333333332,1425,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.3,0,5.0,5.0,100.0,6959,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.3,1,5.0,5.0,100.0,6959,30
