city,scenario,severity,feat_n_nodes,feat_n_edges,feat_avg_degree,feat_degree_std,feat_max_degree,feat_avg_clustering,feat_transitivity,feat_assortativity,feat_density,feat_giant_component_frac,feat_approx_aspl,feat_modularity,feat_bridge_frac,feat_tunnel_frac,feat_major_highway_frac,feat_bc_mean,feat_bc_std,met_avg_ratio,met_median_ratio,met_pct_disconnected,met_n_removed_edges,met_n_pairs,label_resilience_score
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.2,9122.0,12988.0,2.8476211357158516,0.9833180687446865,7.0,0.040665163236967665,0.0464212534444994,0.10162172038143094,0.0003122049266216261,1.0,8071.034926179103,0.9508275637913239,0.01926075778648797,0.002233742150292915,0.1636532220676866,0.003705069172573004,0.012948360925140335,1.0328799098212933,1.0,0.0,53,60,0.968166764104278
"Pittsburgh, Pennsylvania, USA",Tunnel Closure,0.3,9122.0,12988.0,2.8476211357158516,0.9833180687446865,7.0,0.040665163236967665,0.0464212534444994,0.10162172038143094,0.0003122049266216261,1.0,8071.034926179103,0.9508275637913239,0.01926075778648797,0.002233742150292915,0.1636532220676866,0.003705069172573004,0.012948360925140335,1.0328799098212933,1.0,0.0,53,60,0.968166764104278
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.05,9122.0,12988.0,2.8476211357158516,0.9833180687446865,7.0,0.040665163236967665,0.0464212534444994,0.10162172038143094,0.0003122049266216261,1.0,8071.034926179103,0.9508275637913239,0.01926075778648797,0.002233742150292915,0.1636532220676866,0.003705069172573004,0.012948360925140335,3.8728757438035046,5.0,66.66666666666667,3517,60,0.2582060634400607
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.1,9122.0,12988.0,2.8476211357158516,0.9833180687446865,7.0,0.040665163236967665,0.0464212534444994,0.10162172038143094,0.0003122049266216261,1.0,8071.034926179103,0.9508275637913239,0.01926075778648797,0.002233742150292915,0.1636532220676866,0.003705069172573004,0.012948360925140335,3.8728757438035046,5.0,66.66666666666667,3517,60,0.2582060634400607
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.2,9122.0,12988.0,2.8476211357158516,0.9833180687446865,7.0,0.040665163236967665,0.0464212534444994,0.10162172038143094,0.0003122049266216261,1.0,8071.034926179103,0.9508275637913239,0.01926075778648797,0.002233742150292915,0.1636532220676866,0.003705069172573004,0.012948360925140335,3.8728757438035046,5.0,66.66666666666667,3517,60,0.2582060634400607
"Pittsburgh, Pennsylvania, USA",Highway Flood,0.3,9122.0,12988.0,2.8476211357158516,0.9833180687446865,7.0,0.040665163236967665,0.0464212534444994,0.10162172038143094,0.0003122049266216261,1.0,8071.034926179103,0.9508275637913239,0.01926075778648797,0.002233742150292915,0.1636532220676866,0.003705069172573004,0.012948360925140335,3.8728757438035046,5.0,66.66666666666667,3517,60,0.2582060634400607
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.05,9122.0,12988.0,2.8476211357158516,0.9833180687446865,7.0,0.040665163236967665,0.0464212534444994,0.10162172038143094,0.0003122049266216261,1.0,8071.034926179103,0.9508275637913239,0.01926075778648797,0.002233742150292915,0.1636532220676866,0.003705069172573004,0.012948360925140335,2.9164008205645042,1.567738829615393,45.0,1039,60,0.3428883961863781
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.1,9122.0,12988.0,2.8476211357158516,0.9833180687446865,7.0,0.040665163236967665,0.0464212534444994,0.10162172038143094,0.0003122049266216261,1.0,8071.034926179103,0.9508275637913239,0.01926075778648797,0.002233742150292915,0.1636532220676866,0.003705069172573004,0.012948360925140335,4.032628520685169,5.0,73.33333333333333,2185,60,0.24797721755687374
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.2,9122.0,12988.0,2.8476211357158516,0.9833180687446865,7.0,0.040665163236967665,0.0464212534444994,0.10162172038143094,0.0003122049266216261,1.0,8071.034926179103,0.9508275637913239,0.01926075778648797,0.002233742150292915,0.1636532220676866,0.003705069172573004,0.012948360925140335,4.896294577345424,5.0,96.66666666666667,4565,60,0.20423607775293623
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.3,9122.0,12988.0,2.8476211357158516,0.9833180687446865,7.0,0.040665163236967665,0.0464212534444994,0.10162172038143094,0.0003122049266216261,1.0,8071.034926179103,0.9508275637913239,0.01926075778648797,0.002233742150292915,0.1636532220676866,0.003705069172573004,0.012948360925140335,5.0,5.0,100.0,6950,60,0.2
